state_code,constituency_no,constituency_name,constituency_name_ml,district,region,wikidata,leading_candidate,leading_party,trailing_candidate,trailing_party,margin,round,status,update_time
S113,4,Kanhangad,കാഞ്ഞങ്ങാട്,Kasaragod,North Keralam,Q13111113,ADV. GOVINDAN PALLIKAPPIL,Communist,SHAIJI OTTAPALLI,Kerala Congress,15031,9/18,Result in Progress,2026-05-04 11:37:53
S113,100,Kanjirappally,കാഞ്ഞിരപ്പള്ളി,Kottayam,Centeral Keralam,Q16134543,RONY K BABY,Indian National Congress,DR. N. JAYARAJ,Kerala Congress (M),3250,5/15,Result in Progress,2026-05-04 11:37:53
S113,11,Kannur,കണ്ണൂർ,Kannur,North Keralam,Q16137348,ADV.T.O. MOHANAN,Indian National Congress,RAMACHANDRAN KADANNAPPALLI,Congress (Secular),6892,6/13,Result in Progress,2026-05-04 11:37:53
S113,116,Karunagappally,കരുനാഗപ്പള്ളി,Kollam,South Keralam,Q13111030,C.R. MAHESH,Indian National Congress,ADV.M.S. THARA,Communist Party of India,8358,5/16,Result in Progress,2026-05-04 11:37:53
S113,2,Kasaragod,കാസർഗോഡ്,Kasaragod,North Keralam,Q13111222,KALLATRA MAHIN,Indian Union Muslim League,ASHWINI M L,Bharatiya Janata Party,6198,9/16,Result in Progress,2026-05-04 11:37:53
S113,138,Kattakkada,കാട്ടാക്കട,Thiruvananthapuram,South Keralam,Q6378291,M. R. BAIJU,Indian National Congress,ADV. I. B. SATHEESH,Communist Party of India (Marxist),2182,4/16,Result in Progress,2026-05-04 11:37:53
S113,108,Kayamkulam,കായംകുളം,Alappuzha,South Keralam,Q13111157,ADV.M.LIJU,Indian National Congress,ADV.U.PRATHIBHA,Communist Party of India (Marxist),1831,5/17,Result in Progress,2026-05-04 11:37:53
S113,132,Kazhakkoottam,കഴക്കൂട്ടം,Thiruvananthapuram,South Keralam,Q13111089,KADAKAMPALLY SURENDRAN,Communist,V. MURALEEDHARAN,Bharatiya Janata Party,599,5/18,Result in Progress,2026-05-04 11:37:53
S113,80,Kochi,കൊച്ചി,Ernakulam,Centeral Keralam,Q17372576,MOHAMMED SHIYAS,Indian National Congress,K.J. MAXY,Communist Party of India (Marxist),2774,6/18,Result in Progress,2026-05-04 11:37:53
S113,73,Kodungallur,കൊടുങ്ങല്ലൂർ,Thrissur,Centeral Keralam,Q6425466,ADV. O J JANEESH,Indian National Congress,ADV. V R SUNIL KUMAR,Communist Party of India,2285,8/15,Result in Progress,2026-05-04 11:37:53
S113,31,Koduvally,കൊടുവള്ളി,Kozhikode,North Keralam,Q16135012,P K FIROS,Indian Union Muslim League,SALEEM MADAVOOR,Independent,11614,5/16,Result in Progress,2026-05-04 11:37:53
