region,district,district_malayalam,distrct_Wikidata,constituency_Number,constituency_Name,constituency_Name_ (Malayalam),constituency_Wikidata,reservation
Centeral Keralam,Idukki,ഇടുക്കി ജില്ല,Q301821,90,Thodupuzha,തൊടുപുഴ,Q16133853,
Centeral Keralam,Idukki,ഇടുക്കി ജില്ല,Q301821,91,Idukki,ഇടുക്കി,Q13110378,
Centeral Keralam,Idukki,ഇടുക്കി ജില്ല,Q301821,92,Peerumade,പീരുമേട്,Q16135018,
Centeral Keralam,Kottayam,കോട്ടയം ജില്ല,Q1353354,93,Pala,പാലാ,Q13113213,
Centeral Keralam,Kottayam,കോട്ടയം ജില്ല,Q1353354,94,Kaduthuruthy,കടുത്തുരുത്തി,Q13110914,
Centeral Keralam,Kottayam,കോട്ടയം ജില്ല,Q1353354,95,Vaikom,വൈക്കം,Q13114860,SC
Centeral Keralam,Kottayam,കോട്ടയം ജില്ല,Q1353354,96,Ettumanoor,ഏറ്റുമാനൂർ,Q16135978,
Centeral Keralam,Kottayam,കോട്ടയം ജില്ല,Q1353354,97,Kottayam,കോട്ടയം,Q13111688,
Centeral Keralam,Kottayam,കോട്ടയം ജില്ല,Q1353354,98,Puthuppally,പുതുപ്പള്ളി,Q13113317,
Centeral Keralam,Kottayam,കോട്ടയം ജില്ല,Q1353354,99,Changanassery,ചങ്ങനാശ്ശേരി,Q16136954,
Centeral Keralam,Kottayam,കോട്ടയം ജില്ല,Q1353354,100,Kanjirappally,കാഞ്ഞിരപ്പള്ളി,Q16134543,
Centeral Keralam,Kottayam,കോട്ടയം ജില്ല,Q1353354,101,Poonjar,പൂഞ്ഞാർ,Q16135693,
South Keralam,Alappuzha,ആലപ്പുഴ ജില്ല,Q928959,102,Aroor,അരൂർ,Q13110113,
South Keralam,Alappuzha,ആലപ്പുഴ ജില്ല,Q928959,103,Cherthala,ചേർത്തല,Q16134436,
South Keralam,Alappuzha,ആലപ്പുഴ ജില്ല,Q928959,104,Alappuzha,ആലപ്പുഴ,Q13110290,
South Keralam,Alappuzha,ആലപ്പുഴ ജില്ല,Q928959,105,Ambalappuzha,അമ്പലപ്പുഴ,Q13110066,
South Keralam,Alappuzha,ആലപ്പുഴ ജില്ല,Q928959,106,Kuttanad,കുട്ടനാട്,Q16135972,
South Keralam,Alappuzha,ആലപ്പുഴ ജില്ല,Q928959,107,Haripad,ഹരിപ്പാട്,Q16137908,
South Keralam,Alappuzha,ആലപ്പുഴ ജില്ല,Q928959,108,Kayamkulam,കായംകുളം,Q13111157,
South Keralam,Alappuzha,ആലപ്പുഴ ജില്ല,Q928959,109,Mavelikara,മാവേലിക്കര,Q16136384,SC
South Keralam,Alappuzha,ആലപ്പുഴ ജില്ല,Q928959,110,Chengannur,ചെങ്ങന്നൂർ,Q13112004,
South Keralam,Pathanamthitta,പത്തനംതിട്ട ജില്ല,Q634935,111,Thiruvalla,തിരുവല്ല,Q16137335,
South Keralam,Pathanamthitta,പത്തനംതിട്ട ജില്ല,Q634935,112,Ranni,റാന്നി,Q13114408,
South Keralam,Pathanamthitta,പത്തനംതിട്ട ജില്ല,Q634935,113,Aranmula,ആറന്മുള,Q16136677,
South Keralam,Pathanamthitta,പത്തനംതിട്ട ജില്ല,Q634935,114,Konni,കോന്നി,Q20577849,
South Keralam,Pathanamthitta,പത്തനംതിട്ട ജില്ല,Q634935,115,Adoor ,അടൂർ,Q7601892,SC
South Keralam,Kollam,കൊല്ലം ജില്ല,Q1356124,116,Karunagappally,കരുനാഗപ്പള്ളി,Q13111030,
South Keralam,Kollam,കൊല്ലം ജില്ല,Q1356124,117,Chavara,ചവറ,Q13111898,
South Keralam,Kollam,കൊല്ലം ജില്ല,Q1356124,118,Kunnathur ,കുന്നത്തൂർ,Q17414812,SC
South Keralam,Kollam,കൊല്ലം ജില്ല,Q1356124,119,Kottarakkara,കൊട്ടാരക്കര,Q13111616,
South Keralam,Kollam,കൊല്ലം ജില്ല,Q1356124,120,Pathanapuram,പത്തനാപുരം,Q13113068,
South Keralam,Kollam,കൊല്ലം ജില്ല,Q1356124,121,Punalur,പുനലൂർ,Q13113349,
South Keralam,Kollam,കൊല്ലം ജില്ല,Q1356124,122,Chadayamangalam,ചടയമംഗലം,Q16137010,
South Keralam,Kollam,കൊല്ലം ജില്ല,Q1356124,123,Kundara,കുണ്ടറ,Q13111296,
South Keralam,Kollam,കൊല്ലം ജില്ല,Q1356124,124,Kollam,കൊല്ലം,Q48733036,
South Keralam,Kollam,കൊല്ലം ജില്ല,Q1356124,125,Eravipuram,ഇരവിപുരം,Q13110435,
South Keralam,Kollam,കൊല്ലം ജില്ല,Q1356124,126,Chathannoor,ചാത്തന്നൂർ,Q13111908,
South Keralam,Thiruvananthapuram,തിരുവനന്തപുരം ജില്ല,Q162612,127,Varkala,വർക്കല,Q16134163,
South Keralam,Thiruvananthapuram,തിരുവനന്തപുരം ജില്ല,Q162612,128,Attingal ,ആറ്റിങ്ങൽ,Q16136708,SC
South Keralam,Thiruvananthapuram,തിരുവനന്തപുരം ജില്ല,Q162612,129,Chirayinkeezhu,ചിറയൻകീഴ്,Q16137800,SC
South Keralam,Thiruvananthapuram,തിരുവനന്തപുരം ജില്ല,Q162612,130,Nedumangad,നെടുമങ്ങാട്,Q16136140,
South Keralam,Thiruvananthapuram,തിരുവനന്തപുരം ജില്ല,Q162612,131,Vamanapuram,വാമനപുരം,Q16136220,
South Keralam,Thiruvananthapuram,തിരുവനന്തപുരം ജില്ല,Q162612,132,Kazhakkoottam,കഴക്കൂട്ടം,Q13111089,
South Keralam,Thiruvananthapuram,തിരുവനന്തപുരം ജില്ല,Q162612,133,Vattiyoorkavu,വട്ടിയൂർക്കാവ്,Q13114513,
South Keralam,Thiruvananthapuram,തിരുവനന്തപുരം ജില്ല,Q162612,134,Thiruvananthapuram,തിരുവനന്തപുരം,Q16137289,
South Keralam,Thiruvananthapuram,തിരുവനന്തപുരം ജില്ല,Q162612,135,Nemom,നേമം,Q13113005,
South Keralam,Thiruvananthapuram,തിരുവനന്തപുരം ജില്ല,Q162612,136,Aruvikkara,അരുവിക്കര,Q7602920,
South Keralam,Thiruvananthapuram,തിരുവനന്തപുരം ജില്ല,Q162612,137,Parassala,പാറശ്ശാല,Q13113201,
South Keralam,Thiruvananthapuram,തിരുവനന്തപുരം ജില്ല,Q162612,138,Kattakkada,കാട്ടാക്കട,Q6378291,
South Keralam,Thiruvananthapuram,തിരുവനന്തപുരം ജില്ല,Q162612,139,Kovalam,കോവളം,Q13111733,
South Keralam,Thiruvananthapuram,തിരുവനന്തപുരം ജില്ല,Q162612,140,Neyyattinkara,നെയ്യാറ്റിൻകര,Q16136265,
